,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,opp formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
21,11/5/2022,15:30,Bundesliga,Matchweek 13,Sat,Away,W,2,1,Augsburg,1.2,1.2,58,30087,Sebastian Rode,3/4/2003,4-2-2-2,Deniz Aytekin,Match Report,,12,7,17.6,1,0,0,2023,Eintracht Frankfurt
22,11/9/2022,20:30,Bundesliga,Matchweek 14,Wed,Home,W,4,2,Hoffenheim,2.8,1.8,51,49000,Kevin Trapp,3/4/2003,3/5/2002,Felix Zwayer,Match Report,,14,7,17.1,0,0,0,2023,Eintracht Frankfurt
23,11/13/2022,15:30,Bundesliga,Matchweek 15,Sun,Away,D,1,1,Mainz 05,1.8,1.5,60,33305,Kevin Trapp,3/4/2003,3/4/2003,Robert Schröder,Match Report,,10,3,19.3,2,0,0,2023,Eintracht Frankfurt
24,1/21/2023,15:30,Bundesliga,Matchweek 16,Sat,Home,W,3,0,Schalke 04,1.2,1.8,43,50000,Kevin Trapp,3/4/2003,4-2-3-1,Marco Fritz,Match Report,,12,3,14.5,0,0,0,2023,Eintracht Frankfurt
25,1/25/2023,20:30,Bundesliga,Matchweek 17,Wed,Away,D,1,1,Freiburg,0.2,1.9,56,34700,Djibril Sow,3/4/2003,3/4/2003,Deniz Aytekin,Match Report,,4,2,17.9,0,0,0,2023,Eintracht Frankfurt
26,1/28/2023,18:30,Bundesliga,Matchweek 18,Sat,Away,D,1,1,Bayern Munich,0.6,1.6,33,75000,Sebastian Rode,3/4/2003,4-1-4-1,Sven Jablonski,Match Report,,8,1,14.7,0,0,0,2023,Eintracht Frankfurt
27,2/4/2023,15:30,Bundesliga,Matchweek 19,Sat,Home,W,3,0,Hertha BSC,2.2,0.9,62,49500,Makoto Hasebe,3/4/2003,4-1-4-1,Robert Hartmann,Match Report,,9,3,17.9,0,1,1,2023,Eintracht Frankfurt
29,2/12/2023,17:30,Bundesliga,Matchweek 20,Sun,Away,L,0,3,Köln,0.3,1.2,57,50000,Makoto Hasebe,3/4/2003,4-2-3-1,Daniel Siebert,Match Report,,6,1,14.8,0,0,0,2023,Eintracht Frankfurt
30,2/18/2023,18:30,Bundesliga,Matchweek 21,Sat,Home,W,2,0,Werder Bremen,2.1,0.3,45,50000,Kevin Trapp,3/4/2003,3-1-4-2,Bastian Dankert,Match Report,,11,6,16.8,0,0,0,2023,Eintracht Frankfurt
32,2/25/2023,15:30,Bundesliga,Matchweek 22,Sat,Away,L,1,2,RB Leipzig,0.8,1.7,47,47069,Sebastian Rode,3/4/2003,4-2-2-2,Felix Brych,Match Report,,7,4,14.3,1,0,0,2023,Eintracht Frankfurt
33,3/5/2023,17:30,Bundesliga,Matchweek 23,Sun,Away,D,2,2,Wolfsburg,0.6,1.9,48,27853,Sebastian Rode,3/4/2003,4/3/2003,Daniel Schlager,Match Report,,10,2,16.8,0,0,0,2023,Eintracht Frankfurt
34,3/11/2023,15:30,Bundesliga,Matchweek 24,Sat,Home,D,1,1,Stuttgart,0.7,0.8,52,50000,Sebastian Rode,3/4/2003,4/3/2003,Robert Hartmann,Match Report,,10,1,18.9,0,0,0,2023,Eintracht Frankfurt
36,3/19/2023,15:30,Bundesliga,Matchweek 25,Sun,Away,L,0,2,Union Berlin,2.7,1.3,63,22012,Kevin Trapp,3/4/2003,3/5/2002,Christian Dingert,Match Report,,19,5,15.2,0,0,0,2023,Eintracht Frankfurt
37,3/31/2023,20:30,Bundesliga,Matchweek 26,Fri,Home,D,1,1,Bochum,3.1,1.1,73,51500,Sebastian Rode,3/4/2003,4-1-2-1-2,Harm Osmers,Match Report,,18,5,13.9,1,1,1,2023,Eintracht Frankfurt
39,4/8/2023,15:30,Bundesliga,Matchweek 27,Sat,Away,L,1,3,Leverkusen,0.9,2.1,57,30210,Sebastian Rode,3/4/2003,3-4-1-2,Robert Hartmann,Match Report,,9,2,14.3,0,0,0,2023,Eintracht Frankfurt
40,4/15/2023,18:30,Bundesliga,Matchweek 28,Sat,Home,D,1,1,Gladbach,2.2,1.2,59,50000,Sebastian Rode,3/4/2003,4-2-3-1,Sven Jablonski,Match Report,,16,5,16.6,1,0,0,2023,Eintracht Frankfurt
41,4/22/2023,18:30,Bundesliga,Matchweek 29,Sat,Away,L,0,4,Dortmund,0.6,1.1,45,81365,Sebastian Rode,3/4/2003,4/3/2003,Deniz Aytekin,Match Report,,9,2,15.8,0,0,0,2023,Eintracht Frankfurt
42,4/29/2023,15:30,Bundesliga,Matchweek 30,Sat,Home,D,1,1,Augsburg,0.6,0.7,59,50000,Sebastian Rode,3/4/2003,4/4/2002,Frank Willenborg,Match Report,,7,1,18.6,0,0,0,2023,Eintracht Frankfurt
44,5/6/2023,15:30,Bundesliga,Matchweek 31,Sat,Away,L,1,3,Hoffenheim,2.2,2.2,68,30000,Makoto Hasebe,3/4/2003,3/5/2002,Harm Osmers,Match Report,,19,6,16.2,0,0,0,2023,Eintracht Frankfurt
45,5/13/2023,15:30,Bundesliga,Matchweek 32,Sat,Home,W,3,0,Mainz 05,2.2,1,55,50000,Sebastian Rode,3/4/2003,3/4/2003,Felix Brych,Match Report,,17,5,18.3,0,1,1,2023,Eintracht Frankfurt
46,5/20/2023,15:30,Bundesliga,Matchweek 33,Sat,Away,D,2,2,Schalke 04,1.6,1,50,61575,Sebastian Rode,3/4/2003,4-2-3-1,Daniel Schlager,Match Report,,6,2,14.5,0,0,0,2023,Eintracht Frankfurt
47,5/27/2023,15:30,Bundesliga,Matchweek 34,Sat,Home,W,2,1,Freiburg,2.1,1.6,61,50500,Makoto Hasebe,3/4/2003,3/4/2003,Deniz Aytekin,Match Report,,15,6,14.5,0,0,0,2023,Eintracht Frankfurt
1,8/6/2022,15:30,Bundesliga,Matchweek 1,Sat,Home,D,2,2,Werder Bremen,1,0.8,61,28015,Maximilian Arnold,4-2-3-1,3/5/2002,Sascha Stegemann,Match Report,,11,3,19.8,0,0,0,2023,Wolfsburg
2,8/14/2022,17:30,Bundesliga,Matchweek 2,Sun,Away,L,0,2,Bayern Munich,0.5,2,32,75000,Maximilian Arnold,4/5/2001,4-2-3-1,Harm Osmers,Match Report,,8,2,19.1,2,0,0,2023,Wolfsburg
3,8/20/2022,15:30,Bundesliga,Matchweek 3,Sat,Home,D,0,0,Schalke 04,1.3,1.1,71,26959,Maximilian Arnold,4-2-3-1,4/3/2003,Felix Zwayer,Match Report,,17,6,15.2,0,0,0,2023,Wolfsburg
4,8/27/2022,15:30,Bundesliga,Matchweek 4,Sat,Away,L,0,2,RB Leipzig,0.5,3.5,57,41243,Maximilian Arnold,4-2-3-1,3-4-1-2,Bastian Dankert,Match Report,,9,4,17.4,0,0,0,2023,Wolfsburg
5,9/3/2022,15:30,Bundesliga,Matchweek 5,Sat,Home,L,2,4,Köln,1,2.7,51,25654,Maximilian Arnold,3-4-1-2,4-2-3-1,Matthias Jöllenbeck,Match Report,,9,3,14.5,0,0,0,2023,Wolfsburg
6,9/10/2022,15:30,Bundesliga,Matchweek 6,Sat,Away,W,1,0,Eint Frankfurt,1,0.7,38,49000,Maximilian Arnold,4/3/2003,4-2-3-1,Tobias Reichel,Match Report,,7,3,12.3,0,0,0,2023,Wolfsburg
7,9/18/2022,15:30,Bundesliga,Matchweek 7,Sun,Away,L,0,2,Union Berlin,0.3,1.4,52,22012,Maximilian Arnold,4-2-2-2,3/5/2002,Robert Schröder,Match Report,,5,0,19.5,0,0,0,2023,Wolfsburg
8,10/1/2022,15:30,Bundesliga,Matchweek 8,Sat,Home,W,3,2,Stuttgart,2,1.5,57,24125,Maximilian Arnold,4-1-4-1,4/3/2003,Felix Zwayer,Match Report,,19,6,18.4,0,0,0,2023,Wolfsburg
9,10/8/2022,15:30,Bundesliga,Matchweek 9,Sat,Away,D,1,1,Augsburg,1.8,2,51,26220,Maximilian Arnold,4/5/2001,4-1-3-2,Daniel Siebert,Match Report,,11,7,14.9,0,0,0,2023,Wolfsburg
10,10/15/2022,15:30,Bundesliga,Matchweek 10,Sat,Home,D,2,2,Gladbach,1.8,0.8,54,26701,Maximilian Arnold,4/5/2001,4-2-3-1,Benjamin Cortus,Match Report,,16,4,16.3,1,0,0,2023,Wolfsburg
12,10/22/2022,15:30,Bundesliga,Matchweek 11,Sat,Away,D,2,2,Leverkusen,1.2,2.2,43,26294,Maximilian Arnold,4-1-4-1,3/4/2003,Felix Brych,Match Report,,8,0,20.4,0,1,1,2023,Wolfsburg
13,10/29/2022,15:30,Bundesliga,Matchweek 12,Sat,Home,W,4,0,Bochum,2,0.5,52,24037,Maximilian Arnold,4-1-4-1,4-2-3-1,Robert Hartmann,Match Report,,20,6,20.1,1,0,0,2023,Wolfsburg
14,11/5/2022,15:30,Bundesliga,Matchweek 13,Sat,Away,W,3,0,Mainz 05,0.6,1,44,26750,Maximilian Arnold,4/5/2001,3/4/2003,Daniel Siebert,Match Report,,10,3,18.4,1,0,0,2023,Wolfsburg
15,11/8/2022,18:30,Bundesliga,Matchweek 14,Tue,Home,W,2,0,Dortmund,2.4,1.6,37,28675,Maximilian Arnold,4/5/2001,4-2-3-1,Christian Dingert,Match Report,,17,7,12.6,0,0,0,2023,Wolfsburg
16,11/12/2022,15:30,Bundesliga,Matchweek 15,Sat,Away,W,2,1,Hoffenheim,0.7,1.4,40,18014,Maximilian Arnold,4/5/2001,3-4-1-2,Daniel Schlager,Match Report,,6,3,14.7,0,0,0,2023,Wolfsburg
17,1/21/2023,15:30,Bundesliga,Matchweek 16,Sat,Home,W,6,0,Freiburg,2.7,0.7,53,25849,Maximilian Arnold,4/3/2003,4-2-3-1,Felix Zwayer,Match Report,,11,9,17.2,0,1,1,2023,Wolfsburg
18,1/24/2023,20:30,Bundesliga,Matchweek 17,Tue,Away,W,5,0,Hertha BSC,3.1,0.4,58,29483,Maximilian Arnold,4/3/2003,4-2-3-1,Tobias Reichel,Match Report,,16,6,15.4,1,1,1,2023,Wolfsburg
19,1/28/2023,15:30,Bundesliga,Matchweek 18,Sat,Away,L,1,2,Werder Bremen,0.7,2.2,57,41000,Maximilian Arnold,4/5/2001,3-1-4-2,Daniel Siebert,Match Report,,9,3,17.9,1,0,0,2023,Wolfsburg
21,2/5/2023,17:30,Bundesliga,Matchweek 19,Sun,Home,L,2,4,Bayern Munich,2.2,0.5,52,30000,Maximilian Arnold,3/5/2002,4-2-3-1,Harm Osmers,Match Report,,22,5,16.4,1,0,0,2023,Wolfsburg
22,2/10/2023,20:30,Bundesliga,Matchweek 20,Fri,Away,D,0,0,Schalke 04,1.3,1.3,47,60836,Maximilian Arnold,4-2-3-1,4-2-3-1,Benjamin Brand,Match Report,,7,2,15.5,0,0,1,2023,Wolfsburg
23,2/18/2023,15:30,Bundesliga,Matchweek 21,Sat,Home,L,0,3,RB Leipzig,0.2,3,43,24831,Maximilian Arnold,4-2-3-1,4-2-3-1,Deniz Aytekin,Match Report,,7,2,21.9,1,0,0,2023,Wolfsburg
24,2/25/2023,15:30,Bundesliga,Matchweek 22,Sat,Away,W,2,0,Köln,1,1.2,43,49300,Maximilian Arnold,4/3/2003,4/4/2002,Frank Willenborg,Match Report,,5,3,25,0,1,1,2023,Wolfsburg
25,3/5/2023,17:30,Bundesliga,Matchweek 23,Sun,Home,D,2,2,Eint Frankfurt,1.9,0.6,52,27853,Maximilian Arnold,4/3/2003,3/4/2003,Daniel Schlager,Match Report,,12,6,15.8,0,0,0,2023,Wolfsburg
26,3/12/2023,19:30,Bundesliga,Matchweek 24,Sun,Home,D,1,1,Union Berlin,1.7,1.3,58,23554,Koen Casteels,4/3/2003,3/4/2003,Robert Schröder,Match Report,,15,6,17.5,2,0,0,2023,Wolfsburg
27,3/18/2023,15:30,Bundesliga,Matchweek 25,Sat,Away,W,1,0,Stuttgart,0.6,0.5,43,44900,Maximilian Arnold,4-2-3-1,4/3/2003,Felix Brych,Match Report,,9,3,20.4,0,0,0,2023,Wolfsburg
28,4/1/2023,15:30,Bundesliga,Matchweek 26,Sat,Home,D,2,2,Augsburg,3.5,0.6,68,22107,Maximilian Arnold,4/3/2003,4/4/2002,Martin Petersen,Match Report,,22,5,16.7,0,0,1,2023,Wolfsburg
29,4/9/2023,15:30,Bundesliga,Matchweek 27,Sun,Away,L,0,2,Gladbach,1.5,1.6,56,51127,Maximilian Arnold,4/3/2003,4-2-3-1,Timo Gerach,Match Report,,10,2,16,0,0,0,2023,Wolfsburg
30,4/16/2023,19:30,Bundesliga,Matchweek 28,Sun,Home,D,0,0,Leverkusen,0.9,1.2,43,20137,Koen Casteels,5/3/2002,3/4/2003,Sascha Stegemann,Match Report,,11,3,19.1,0,0,0,2023,Wolfsburg
31,4/22/2023,15:30,Bundesliga,Matchweek 29,Sat,Away,W,5,1,Bochum,3.6,2.6,45,24834,Maximilian Arnold,4/3/2003,4-2-3-1,Felix Brych,Match Report,,14,7,15,0,0,1,2023,Wolfsburg
32,4/30/2023,17:30,Bundesliga,Matchweek 30,Sun,Home,W,3,0,Mainz 05,1.9,1.7,51,23817,Maximilian Arnold,3/4/2003,3/4/2003,Daniel Siebert,Match Report,,10,4,12.5,0,0,0,2023,Wolfsburg
33,5/7/2023,17:30,Bundesliga,Matchweek 31,Sun,Away,L,0,6,Dortmund,1.2,4.2,43,81365,Maximilian Arnold,3-1-4-2,4/3/2003,Marco Fritz,Match Report,,10,3,18.6,0,0,0,2023,Wolfsburg
34,5/13/2023,15:30,Bundesliga,Matchweek 32,Sat,Home,W,2,1,Hoffenheim,1.1,1,46,22617,Maximilian Arnold,3-1-4-2,3/5/2002,Tobias Stieler,Match Report,,9,3,20.5,0,0,0,2023,Wolfsburg
35,5/19/2023,20:30,Bundesliga,Matchweek 33,Fri,Away,L,0,2,Freiburg,0.7,1.3,57,33300,Maximilian Arnold,3-1-4-2,3/4/2003,Bastian Dankert,Match Report,,9,2,16.4,0,0,0,2023,Wolfsburg
36,5/27/2023,15:30,Bundesliga,Matchweek 34,Sat,Home,L,1,2,Hertha BSC,3.4,2.1,64,26775,Josuha Guilavogui,3/5/2002,4-2-3-1,Benjamin Cortus,Match Report,,20,7,13.8,0,0,0,2023,Wolfsburg
1,8/6/2022,15:30,Bundesliga,Matchweek 1,Sat,Away,W,2,1,Bochum,1.4,0.9,41,24110,Robin Zentner,5/4/2001,4-2-3-1,Felix Zwayer,Match Report,,13,6,17.5,1,0,0,2023,Mainz 05
2,8/14/2022,15:30,Bundesliga,Matchweek 2,Sun,Home,D,0,0,Union Berlin,0.7,0.4,49,25009,Silvan Widmer,3/5/2002,3/5/2002,Daniel Schlager,Match Report,,11,5,16.9,0,0,0,2023,Mainz 05
3,8/20/2022,15:30,Bundesliga,Matchweek 3,Sat,Away,W,2,1,Augsburg,2.1,0.5,50,23755,Silvan Widmer,3/5/2002,3/4/2003,Sascha Stegemann,Match Report,,12,5,19.6,1,0,1,2023,Mainz 05
4,8/27/2022,15:30,Bundesliga,Matchweek 4,Sat,Home,L,0,3,Leverkusen,1.4,1.9,61,28500,Silvan Widmer,3/4/2003,3/5/2002,Christian Dingert,Match Report,,18,3,18.4,1,0,0,2023,Mainz 05
5,9/4/2022,17:30,Bundesliga,Matchweek 5,Sun,Away,W,1,0,Gladbach,0.6,1.2,47,51210,Silvan Widmer,3/4/2003,4-2-3-1,Deniz Aytekin,Match Report,,11,4,17.6,2,0,0,2023,Mainz 05
6,9/10/2022,15:30,Bundesliga,Matchweek 6,Sat,Away,L,1,4,Hoffenheim,0.7,4.2,36,20114,Silvan Widmer,3/4/2003,3-1-4-2,Daniel Schlager,Match Report,,9,2,18.3,0,0,0,2023,Mainz 05
7,9/16/2022,20:30,Bundesliga,Matchweek 7,Fri,Home,D,1,1,Hertha BSC,0.7,0.4,57,25300,Silvan Widmer,3/4/2003,4/3/2003,Frank Willenborg,Match Report,,11,2,16.6,0,0,0,2023,Mainz 05
8,10/1/2022,15:30,Bundesliga,Matchweek 8,Sat,Away,L,1,2,Freiburg,1.6,2,47,34700,Silvan Widmer,3/4/2003,4-2-3-1,Sven Jablonski,Match Report,,15,6,19.1,1,0,0,2023,Mainz 05
9,10/8/2022,15:30,Bundesliga,Matchweek 9,Sat,Home,D,1,1,RB Leipzig,0.6,1,37,26100,Silvan Widmer,3/5/2002,4-2-3-1,Felix Brych,Match Report,,9,3,19.7,0,0,0,2023,Mainz 05
10,10/15/2022,15:30,Bundesliga,Matchweek 10,Sat,Away,W,2,0,Werder Bremen,1.1,1.3,33,41000,Robin Zentner,3/4/2003,3/5/2002,Robert Hartmann,Match Report,,11,5,16.5,0,0,0,2023,Mainz 05
12,10/21/2022,20:30,Bundesliga,Matchweek 11,Fri,Home,W,5,0,Köln,1.9,0.7,55,31610,Robin Zentner,3/5/2002,4-3-1-2,Matthias Jöllenbeck,Match Report,,15,6,18.2,1,1,1,2023,Mainz 05
13,10/29/2022,15:30,Bundesliga,Matchweek 12,Sat,Away,L,2,6,Bayern Munich,2.2,3.1,31,75000,Silvan Widmer,5/3/2002,4-2-3-1,Felix Zwayer,Match Report,,13,4,13.4,0,0,1,2023,Mainz 05
14,11/5/2022,15:30,Bundesliga,Matchweek 13,Sat,Home,L,0,3,Wolfsburg,1,0.6,56,26750,Silvan Widmer,3/4/2003,4/5/2001,Daniel Siebert,Match Report,,15,3,19.3,0,0,0,2023,Mainz 05
15,11/9/2022,20:30,Bundesliga,Matchweek 14,Wed,Away,L,0,1,Schalke 04,0.8,1.5,55,58256,Robin Zentner,3/5/2002,4-2-3-1,Tobias Reichel,Match Report,,11,1,13.5,1,0,0,2023,Mainz 05
16,11/13/2022,15:30,Bundesliga,Matchweek 15,Sun,Home,D,1,1,Eint Frankfurt,1.5,1.8,40,33305,Silvan Widmer,3/4/2003,3/4/2003,Robert Schröder,Match Report,,18,6,16,0,0,0,2023,Mainz 05
17,1/21/2023,15:30,Bundesliga,Matchweek 16,Sat,Away,D,1,1,Stuttgart,1.4,1.6,45,45903,Silvan Widmer,3/4/2003,4/3/2003,Felix Brych,Match Report,,12,1,20.3,1,1,1,2023,Mainz 05
18,1/25/2023,18:30,Bundesliga,Matchweek 17,Wed,Home,L,1,2,Dortmund,1.2,1.5,38,31500,Silvan Widmer,3/5/2002,4-2-3-1,Sascha Stegemann,Match Report,,12,4,14.8,0,0,0,2023,Mainz 05
19,1/28/2023,15:30,Bundesliga,Matchweek 18,Sat,Home,W,5,2,Bochum,2.1,1.5,42,23300,Silvan Widmer,3/4/2003,4/3/2003,Patrick Ittrich,Match Report,,14,7,17.3,0,0,0,2023,Mainz 05
21,2/4/2023,15:30,Bundesliga,Matchweek 19,Sat,Away,L,1,2,Union Berlin,1.3,1.1,49,22012,Dominik Kohr,3/4/2003,3/5/2002,Florian Badstübner,Match Report,,11,4,20.7,0,1,1,2023,Mainz 05
22,2/11/2023,15:30,Bundesliga,Matchweek 20,Sat,Home,W,3,1,Augsburg,2.4,1.5,50,22200,Karim Onisiwo,3/4/2003,4/3/2003,Sven Jablonski,Match Report,,15,6,14.6,0,0,0,2023,Mainz 05
23,2/19/2023,19:30,Bundesliga,Matchweek 21,Sun,Away,W,3,2,Leverkusen,1.6,2.2,34,27002,Karim Onisiwo,3-4-1-2,4/3/2003,Robert Schröder,Match Report,,11,6,14.4,0,1,1,2023,Mainz 05
24,2/24/2023,20:30,Bundesliga,Matchweek 22,Fri,Home,W,4,0,Gladbach,1.8,1.2,36,32500,Robin Zentner,3/4/2003,4-2-3-1,Robert Hartmann,Match Report,,14,8,16.1,0,0,0,2023,Mainz 05
25,3/4/2023,15:30,Bundesliga,Matchweek 23,Sat,Home,W,1,0,Hoffenheim,1.1,0.8,47,28100,Robin Zentner,3/4/2003,3/4/2003,Sascha Stegemann,Match Report,,16,6,16.6,0,0,0,2023,Mainz 05
26,3/11/2023,15:30,Bundesliga,Matchweek 24,Sat,Away,D,1,1,Hertha BSC,0.5,1.5,59,41689,Robin Zentner,3/4/2003,3-1-4-2,Benjamin Cortus,Match Report,,6,3,16.3,0,0,0,2023,Mainz 05
27,3/19/2023,19:30,Bundesliga,Matchweek 25,Sun,Home,D,1,1,Freiburg,1,1.7,47,26800,Robin Zentner,3/4/2003,3/4/2003,Bastian Dankert,Match Report,,10,5,16.4,1,0,0,2023,Mainz 05
28,4/1/2023,15:30,Bundesliga,Matchweek 26,Sat,Away,W,3,0,RB Leipzig,2.9,0.8,31,45597,Silvan Widmer,3/4/2003,4-2-2-2,Christian Dingert,Match Report,,19,7,16.2,2,0,0,2023,Mainz 05
29,4/8/2023,15:30,Bundesliga,Matchweek 27,Sat,Home,D,2,2,Werder Bremen,1.9,0.9,51,33305,Silvan Widmer,3/4/2003,3/5/2002,Benjamin Brand,Match Report,,16,10,16.7,0,0,0,2023,Mainz 05
30,4/15/2023,15:30,Bundesliga,Matchweek 28,Sat,Away,D,1,1,Köln,0.8,1,47,50000,Silvan Widmer,3/4/2003,4-2-3-1,Benjamin Cortus,Match Report,,5,1,23.1,0,0,0,2023,Mainz 05
31,4/22/2023,15:30,Bundesliga,Matchweek 29,Sat,Home,W,3,1,Bayern Munich,1.6,1.9,26,33305,Silvan Widmer,3/4/2003,3-1-4-2,Felix Zwayer,Match Report,,12,4,17.3,0,0,0,2023,Mainz 05
32,4/30/2023,17:30,Bundesliga,Matchweek 30,Sun,Away,L,0,3,Wolfsburg,1.7,1.9,49,23817,Silvan Widmer,3/4/2003,3/4/2003,Daniel Siebert,Match Report,,10,2,13.4,0,0,0,2023,Mainz 05
33,5/5/2023,20:30,Bundesliga,Matchweek 31,Fri,Home,L,2,3,Schalke 04,1.3,2.9,57,33305,Robin Zentner,3/4/2003,4-2-3-1,Matthias Jöllenbeck,Match Report,,10,4,13.2,1,0,0,2023,Mainz 05
34,5/13/2023,15:30,Bundesliga,Matchweek 32,Sat,Away,L,0,3,Eint Frankfurt,1,2.2,45,50000,Robin Zentner,3/4/2003,3/4/2003,Felix Brych,Match Report,,9,3,18.2,1,0,0,2023,Mainz 05
35,5/21/2023,15:30,Bundesliga,Matchweek 33,Sun,Home,L,1,4,Stuttgart,1.3,1.8,47,33305,Karim Onisiwo,3/4/2003,3/4/2003,Sven Jablonski,Match Report,,10,6,17.9,2,0,0,2023,Mainz 05
36,5/27/2023,15:30,Bundesliga,Matchweek 34,Sat,Away,D,2,2,Dortmund,1.8,4,27,81365,Karim Onisiwo,3/4/2003,4/5/2001,Marco Fritz,Match Report,,10,4,21.6,1,0,0,2023,Mainz 05
1,8/6/2022,15:30,Bundesliga,Matchweek 1,Sat,Home,W,3,1,Hoffenheim,1.9,0.1,61,49659,Yann Sommer,4-2-3-1,3/5/2002,Daniel Siebert,Match Report,,18,7,16.2,1,0,0,2023,Monchengladbach
2,8/13/2022,18:30,Bundesliga,Matchweek 2,Sat,Away,D,2,2,Schalke 04,1.3,1.4,67,62271,Yann Sommer,4-2-3-1,4/4/2002,Sven Jablonski,Match Report,,14,8,16.7,0,0,0,2023,Monchengladbach
3,8/19/2022,20:30,Bundesliga,Matchweek 3,Fri,Home,W,1,0,Hertha BSC,2.7,1,64,48411,Yann Sommer,4-2-3-1,4/3/2003,Matthias Jöllenbeck,Match Report,,9,4,21,0,1,2,2023,Monchengladbach
4,8/27/2022,18:30,Bundesliga,Matchweek 4,Sat,Away,D,1,1,Bayern Munich,0.5,2.8,31,75000,Yann Sommer,4-2-3-1,4-2-2-2,Daniel Schlager,Match Report,,5,3,17.9,0,0,0,2023,Monchengladbach
5,9/4/2022,17:30,Bundesliga,Matchweek 5,Sun,Home,L,0,1,Mainz 05,1.2,0.6,53,51210,Yann Sommer,4-2-3-1,3/4/2003,Deniz Aytekin,Match Report,,14,2,16.8,0,0,0,2023,Monchengladbach
6,9/11/2022,17:30,Bundesliga,Matchweek 6,Sun,Away,D,0,0,Freiburg,1.2,1.1,57,34700,Lars Stindl,4-2-3-1,4-4-1-1,Tobias Stieler,Match Report,,14,5,15,0,0,0,2023,Monchengladbach
7,9/17/2022,18:30,Bundesliga,Matchweek 7,Sat,Home,W,3,0,RB Leipzig,2.7,0.9,45,50186,Lars Stindl,4-2-3-1,4-2-3-1,Patrick Ittrich,Match Report,,21,10,18,0,0,0,2023,Monchengladbach
8,10/1/2022,18:30,Bundesliga,Matchweek 8,Sat,Away,L,1,5,Werder Bremen,2.3,1.9,53,42100,Lars Stindl,4-2-3-1,3/5/2002,Matthias Jöllenbeck,Match Report,,13,8,12.8,0,0,0,2023,Monchengladbach
9,10/9/2022,15:30,Bundesliga,Matchweek 9,Sun,Home,W,5,2,Köln,3,1.3,65,54042,Lars Stindl,4-2-3-1,4-1-3-2,Sven Jablonski,Match Report,,13,5,18.1,1,1,1,2023,Monchengladbach
10,10/15/2022,15:30,Bundesliga,Matchweek 10,Sat,Away,D,2,2,Wolfsburg,0.8,1.8,46,26701,Lars Stindl,4-2-3-1,4/5/2001,Benjamin Cortus,Match Report,,9,5,15.4,1,0,0,2023,Monchengladbach
12,10/22/2022,18:30,Bundesliga,Matchweek 11,Sat,Home,L,1,3,Eint Frankfurt,1,1.9,60,53019,Lars Stindl,4-2-3-1,3/4/2003,Daniel Siebert,Match Report,,7,3,14,0,0,0,2023,Monchengladbach
13,10/30/2022,15:30,Bundesliga,Matchweek 12,Sun,Away,L,1,2,Union Berlin,1,0.9,45,22012,Lars Stindl,4-2-3-1,3/5/2002,Harm Osmers,Match Report,,7,3,16.6,1,0,0,2023,Monchengladbach
14,11/4/2022,20:30,Bundesliga,Matchweek 13,Fri,Home,W,3,1,Stuttgart,0.9,1.1,55,53178,Christoph Kramer,4-2-3-1,4/4/2002,Matthias Jöllenbeck,Match Report,,13,6,22.7,0,0,0,2023,Monchengladbach
15,11/8/2022,20:30,Bundesliga,Matchweek 14,Tue,Away,L,1,2,Bochum,0.8,2,54,25900,Christoph Kramer,4-2-3-1,4-2-3-1,Daniel Schlager,Match Report,,8,2,15.3,0,0,0,2023,Monchengladbach
16,11/11/2022,20:30,Bundesliga,Matchweek 15,Fri,Home,W,4,2,Dortmund,2.1,3,39,54042,Lars Stindl,4-2-3-1,4-2-3-1,Sven Jablonski,Match Report,,11,6,17,0,0,0,2023,Monchengladbach
17,1/22/2023,17:30,Bundesliga,Matchweek 16,Sun,Home,L,2,3,Leverkusen,1,2,61,53336,Christoph Kramer,4-2-3-1,3/4/2003,Harm Osmers,Match Report,,15,8,17.8,0,0,0,2023,Monchengladbach
18,1/25/2023,20:30,Bundesliga,Matchweek 17,Wed,Away,L,0,1,Augsburg,0.3,0.9,56,23158,Christoph Kramer,4-2-3-1,4/4/2002,Daniel Schlager,Match Report,,7,2,18.4,0,0,0,2023,Monchengladbach
19,1/28/2023,15:30,Bundesliga,Matchweek 18,Sat,Away,W,4,1,Hoffenheim,1.7,1.8,49,24119,Lars Stindl,4-2-3-1,3-4-1-2,Benjamin Brand,Match Report,,9,5,15.9,0,0,0,2023,Monchengladbach
20,2/4/2023,18:30,Bundesliga,Matchweek 19,Sat,Home,D,0,0,Schalke 04,1.1,1,54,54042,Lars Stindl,4-2-3-1,4-1-4-1,Deniz Aytekin,Match Report,,18,4,17.7,0,0,0,2023,Monchengladbach
21,2/12/2023,15:30,Bundesliga,Matchweek 20,Sun,Away,L,1,4,Hertha BSC,0.5,3,69,40973,Lars Stindl,4-2-3-1,3/5/2002,Christian Dingert,Match Report,,8,3,14.9,0,0,0,2023,Monchengladbach
22,2/18/2023,15:30,Bundesliga,Matchweek 21,Sat,Home,W,3,2,Bayern Munich,2.4,1.1,53,54042,Lars Stindl,4-2-3-1,3-1-4-2,Tobias Welz,Match Report,,17,7,16.8,1,0,0,2023,Monchengladbach
